Artist(s) Genres,Hot100 Ranking Year,Hot100 Rank
"['folk rock', 'doo-wop', 'rock-and-roll', 'surf music', 'classic garage rock', 'rockabilly', 'bubblegum pop', 'merseybeat', 'sunshine pop']",1964,48
"['british invasion', 'merseybeat', 'rock-and-roll']",1964,49
['british invasion'],1964,50
"['samba', 'jazz guitar', 'samba-jazz', 'lounge', 'christian lo-fi', 'jazz saxophone', 'vocal jazz', 'jazz', 'bebop', 'brazilian jazz', 'cool jazz', 'bossa nova', 'latin jazz', 'violao']",1964,51
"['rock', 'british invasion', 'beatlesque', 'psychedelic rock', 'classic rock', 'merseybeat']",1964,52
"['classic girl group', 'brill building pop', 'rock-and-roll']",1964,53
['karaoke'],1964,54
"['rock', 'british invasion', 'beatlesque', 'psychedelic rock', 'classic rock', 'merseybeat']",1964,55
"['classic soul', 'quiet storm', 'funk', 'chicago soul', 'soul']",1964,56
"['disco', 'classic soul', 'quiet storm', 'motown', 'soul']",1964,57
['deep adult standards'],1964,58
['british invasion'],1964,59
['surf music'],1964,60
"['classic garage rock', 'bubblegum pop', 'surf music']",1964,61
"['classic oklahoma country', 'nashville sound', 'classic country pop']",1964,62
"['rock-and-roll', 'adult standards', 'bubblegum pop', 'merseybeat', 'easy listening']",1964,63
"['british invasion', 'merseybeat']",1964,64
[],1964,65
"['rock-and-roll', 'rockabilly', 'doo-wop', 'adult standards']",1964,66
